Väli,Soovitatud väärtus,Kindlus,Põhjendus
Meetme nimetus,Ettevõtja digitaliseerimise teekaardi toetus – nõustamisteenus ja arendustegevus,kõrge,Määruse ametlik nimetus on „Ettevõtja digitaliseerimise teekaardi toetus”; konkreetne käsitletav tegevus on § 7 lg 1 p 2: digitaliseerimise teekaardis esitatud kitsaskohtade lahendamiseks ja arenguvõimaluste elluviimiseks vajalik nõustamisteenus ja arendustegevus. (Riigi Teataja)
Suurim toetus (€),35 000,kõrge,§ 10 lg 1 p 2 järgi on § 7 lg 1 p 2 tegevuse toetuse maksimumsumma ühe projekti kohta 35 000 eurot. (Riigi Teataja)
Omafinantseering (%),30–50%,kõrge,"Toetuse osakaal on üldjuhul 50%, kuid VTA määrusega kooskõlas toetust saava ning väljaspool Harjumaad ja Tartu linna registreeritud äriühingu puhul 70%; seega omafinantseering on vastavalt 50% või 30%. (Riigi Teataja)"
Kogu toetussumma (€),2 500 000,kõrge,"Määrus ütleb, et rahastamise eelarvest annab rakendusüksus teada oma veebilehel, kuid määruses endas kogu eelarvesummat ei esitata. (Riigi Teataja)"
Staatus,jooksvalt avatud,keskmine,Määruse järgi taotletakse toetust jooksvalt eelarve ammendumiseni või taotluste vastuvõtmise perioodi lõppemiseni. Tegelikku hetkeolekut tuleb siiski kontrollida rakendusüksuse veebilehelt. (Riigi Teataja)
Meetme kirjeldus,"Toetus on mõeldud Eesti äriregistrisse kantud äriühingule digitaliseerimise teekaardis esitatud kitsaskohtade lahendamiseks ja arenguvõimaluste elluviimiseks. Käsitletav tegevus hõlmab nõustamisteenust ja arendustegevust, mis peab olema seotud digitaliseerimise, automatiseerimise ja küberturvalisuse rakendustega ning viidud ellu nende juurutamiseks. Toetatav tegevus peab tuginema digitaliseerimise teekaardile ning selle protsess ja lõpptulemus tuleb dokumenteerida kirjalikku taasesitamist võimaldavas vormis. Projekti abikõlblikkuse periood on kuni 12 kuud, pikendamise võimalusega mõjuval põhjusel kuni kuue kuu võrra.",kõrge,Kirjeldus tugineb § 7 lg 1 p 2 ja § 7 lg 3 nõuetele ning § 9 lg 4–5 abikõlblikkuse perioodi reeglitele. (Riigi Teataja)
Link,https://www.riigiteataja.ee/akt/130042026008?leiaKehtiv,kõrge,Kasutatud on ainult kehtivat asjakohast määrust. (Riigi Teataja)
Sobiv taotleja,ettevõte,kõrge,Taotleja peab olema Eesti äriregistrisse kantud äriühing. (Riigi Teataja)
Ettevõtte suurus,kõik,kõrge,"Määrus eristab VKEd ja suurettevõtjat, kuid § 7 lg 1 p 2 tegevuse puhul ei piirdu taotlejate ring ainult VKEdega; suurettevõtjale antakse toetust VTA määruse alusel. (Riigi Teataja)"
Piirkond,Eesti,kõrge,"Taotleja peab olema Eesti äriregistrisse kantud äriühing; toetuse osakaalu erisus sõltub sellest, kas äriühing on registreeritud väljaspool Harjumaad ja Tartu linna. (Riigi Teataja)"
Sektor,kõik sektorid,keskmine,"Meede ei ole suunatud ühele sektorile, kuid määrus välistab konkreetsed EMTAK tegevusalad, sh põllumajandus, kalapüük, teatud kaevandamine ja energia fossiilvaldkonnad, tubakatootmine, kinnisvara, hasartmängud, juriidilised toimingud ja arvepidamine, juhtimisnõustamine, reklaamindus ning rentimine ja tööjõurent. (Riigi Teataja)"
Valdkond,digitaliseerimine; automatiseerimine; küberturve,kõrge,"Nõustamine peab toimuma digitaliseerimise, automatiseerimise ja küberturvalisuse valdkonnas ning arendustegevus peab olema seotud nende rakendustega. (Riigi Teataja)"
